namelsad10,Number_of_Requests,Household_Income,color
Census Tract 6117,1533,6169,#e4acac
Census Tract 6118,1499,10051,#ad9ea5
Census Tract 6119,2108,6787,#c85a5a
Census Tract 612,657,23393,#64acbe
Census Tract 6120,1653,7662,#e4acac
Census Tract 6121,1590,8960,#ad9ea5
Census Tract 615,721,26732,#64acbe
Census Tract 618,230,7073,#e8e8e8
Census Tract 619.01,473,13494,#64acbe
Census Tract 619.02,628,16078,#64acbe
Census Tract 620,869,12444,#b0d5df
Census Tract 6201,2223,9842,#985356
Census Tract 6202,1265,7074,#e4acac
Census Tract 6203,2822,9392,#985356
Census Tract 6204,1999,12628,#574249
Census Tract 621,1557,17949,#627f8c
Census Tract 622,1291,18210,#627f8c
Census Tract 623,661,37552,#64acbe
Census Tract 624,669,43476,#64acbe
Census Tract 625,983,25367,#64acbe
Census Tract 626,1247,31681,#627f8c
Census Tract 627,2367,34529,#574249
Census Tract 628,1292,30035,#627f8c
Census Tract 629,1581,16557,#627f8c
Census Tract 630,1518,13742,#627f8c
Census Tract 6301,807,6383,#e8e8e8
Census Tract 6302,1154,7450,#e8e8e8
Census Tract 6303,2993,7453,#c85a5a
Census Tract 6304,2616,5785,#c85a5a
Census Tract 6305,2312,9598,#985356
Census Tract 6308,2356,5602,#c85a5a
Census Tract 6309,2208,5166,#c85a5a
Census Tract 631,750,14735,#64acbe
Census Tract 632,1022,12498,#b0d5df
Census Tract 633.01,354,9541,#b0d5df
Census Tract 633.02,409,8711,#b0d5df
Census Tract 633.03,205,11534,#b0d5df
Census Tract 634,590,13162,#64acbe
Census Tract 6401,533,22626,#64acbe
Census Tract 6403,4272,7909,#c85a5a
Census Tract 6404,1954,20178,#627f8c
Census Tract 6405,1841,8754,#ad9ea5
Census Tract 6406,2247,5489,#c85a5a
Census Tract 6407,1668,7444,#e4acac
Census Tract 6408,1035,6687,#e8e8e8
Census Tract 6501,1889,5572,#e4acac
Census Tract 6502,3287,10500,#985356
Census Tract 6503.01,2426,15346,#574249
Census Tract 6503.02,1852,14623,#627f8c
Census Tract 6504,2396,4524,#c85a5a
Census Tract 6505,1996,12952,#574249
Census Tract 6603.01,725,5338,#e8e8e8
Census Tract 6603.02,2024,5710,#c85a5a
Census Tract 6604,2048,8462,#985356
Census Tract 6605,1951,5497,#e4acac
Census Tract 6606,2573,4714,#c85a5a
Census Tract 6607,1332,5733,#e4acac
Census Tract 6608,2367,4467,#c85a5a
Census Tract 6609,2371,6104,#c85a5a
Census Tract 6610,3358,3920,#c85a5a
Census Tract 6611,2916,7522,#c85a5a
Census Tract 6701,1215,9987,#ad9ea5
Census Tract 6702,1340,37582,#627f8c
Census Tract 6703,1056,5515,#e8e8e8
Census Tract 6704,1337,19512,#627f8c
Census Tract 6705,1264,6835,#e4acac
Census Tract 6706,1660,13852,#627f8c
Census Tract 6707,1606,6287,#e4acac
Census Tract 6708,1456,7527,#e4acac
Census Tract 6709,1339,8959,#ad9ea5
Census Tract 6711,973,6931,#e8e8e8
Census Tract 6712,1286,7843,#e4acac
Census Tract 6713,2315,6512,#c85a5a
Census Tract 6714,1494,8488,#ad9ea5
Census Tract 6715,3395,4564,#c85a5a
Census Tract 6716,1930,7192,#e4acac
